Ruzomberok;Zilinsky;333;258;72;2210;333;451;38;2416;248;322;18;1993;215;230;29;1898;156;208;18;1558;106;135;16;1353;72;120;12;1092;67;157;12;933;84;289;13;1278;94;325;21;1660;100;339;12;1652;81;352;12;1981;96;358;11;1964;108;351;18;1948;115;236;11;1694;83;211;14;1407
Turcianske Teplice;Zilinsky;87;97;24;523;104;125;7;604;68;123;3;522;67;114;0;542;59;120;5;530;46;67;5;458;46;53;7;381;47;66;3;343;40;125;9;397;49;107;7;493;57;90;2;529;56;111;2;626;49;104;4;624;66;98;8;610;35;53;10;402;33;42;7;271
Tvrdosin;Zilinsky;101;197;37;1172;92;293;21;1098;103;191;13;875;103;166;10;734;74;164;12;637;43;136;7;453;36;121;7;371;35;168;10;304;58;309;14;532;73;336;11;809;82;344;7;724;47;290;12;852;87;303;3;966;97;273;7;877;90;184;6;562;60;143;4;385
Zilina;Zilinsky;495;642;94;4335;440;871;40;3559;287;632;38;2961;185;582;10;2502;168;438;13;1972;127;285;12;1536;98;188;8;1098;101;320;13;855;120;774;10;1269;146;822;19;2200;192;811;14;2367;209;637;14;2954;191;765;11;3154;190;722;12;3055;172;577;17;2482;164;451;12;1944
Banska Bystrica;Banskobystricky;235;328;44;2109;285;651;28;2338;208;564;15;1991;204;510;18;1853;148;361;17;1666;116;221;21;1442;106;189;17;1160;79;219;15;877;106;531;30;1172;152;564;17;2144;167;482;17;2218;172;528;18;2637;164;469;15;2583;178;427;14;2653;185;312;20;2359;144;198;11;1726
Banska Stiavnica;Banskobystricky;195;69;19;513;227;107;15;604;194;87;9;613;158;126;6;660;126;101;7;631;103;75;2;584;94;70;5;521;87;91;4;467;103;119;2;637;97;134;7;755;132;120;4;735;117;155;2;828;87;113;4;850;110;94;4;846;114;80;5;736;113;45;4;585
Brezno;Banskobystricky;432;280;150;3838;428;468;81;4026;364;384;41;3796;301;323;75;3744;157;278;79;2844;86;206;66;2497;77;197;89;2041;83;230;87;1883;124;379;110;2541;149;369;99;3451;148;356;107;3382;119;377;98;3528;130;300;72;3137;122;331;78;2678;138;210;49;2619;114;156;28;2096
Detva;Banskobystricky;218;193;46;1467;219;310;16;1785;170;244;10;1871;168;207;11;1672;135;206;14;1529;102;140;10;1414;87;108;18;1234;62;135;29;1104;96;212;24;1415;99;179;15;1703;112;196;12;1553;86;189;18;1711;69;177;8;1319;105;180;12;1335;94;141;4;1228;75;129;2;1021
Krupina;Banskobystricky;140;105;38;953;142;202;8;1183;91;166;9;1184;68;173;18;1183;57;137;15;1197;45;94;13;1061;32;74;24;932;35;97;16;859;44;169;15;1009;63;172;23;1377;81;174;15;1403;58;75;10;1506;47;154;14;1197;32;136;11;1170;30;87;4;888;33;57;4;663
Lucenec;Banskobystricky;409;321;275;5215;368;596;209;6041;297;386;168;5706;238;491;124;5179;227;470;124;4836;171;294;106;4243;142;239;112;3768;131;313;107;3366;134;436;103;4240;138;500;111;5036;149;495;111;4959;116;494;96;5422;110;357;89;5287;112;341;83;4836;109;275;78;4266;103;213;58;3605
Poltar;Banskobystricky;234;107;48;1145;203;189;46;1422;191;166;31;1518;163;205;28;1701;120;167;13;1627;90;125;6;1400;89;83;13;1222;62;100;13;1047;73;171;15;1365;62;154;13;1784;74;156;13;1786;72;231;10;2104;41;179;6;2233;40;145;9;2022;41;92;8;1711;32;91;6;1390
Revuca;Banskobystricky;396;180;179;3555;384;329;168;4732;265;287;88;4750;275;259;110;4652;255;241;114;4590;201;200;110;4167;197;180;113;3818;206;206;97;3785;206;272;107;4298;241;284;94;4894;241;241;94;4812;192;196;96;4967;205;239;71;5035;206;215;58;4544;231;185;44;3756;211;132;14;3026
Rimavska Sobota;Banskobystricky;825;395;460;6566;861;729;336;9706;692;519;163;9975;487;486;321;8622;521;488;326;8528;374;356;327;8672;294;287;310;7939;255;307;264;7478;274;447;307;8735;303;517;296;10174;345;503;284;10064;352;497;322;10743;308;431;312;10900;334;453;291;10485;306;314;119;9171;299;283;78;7875
Velky Krtis;Banskobystricky;499;260;112;3704;553;502;91;4304;443;309;84;4324;344;308;48;4039;252;321;46;3750;197;230;47;3321;192;173;49;2911;209;199;40;2331;187;296;51;2784;207;275;54;3026;215;360;34;2733;192;386;42;2801;249;344;25;3155;275;323;20;3305;221;176;17;2685;158;146;8;1960
Zvolen;Banskobystricky;254;310;60;1840;262;464;31;2103;165;334;18;1782;147;282;12;1662;142;267;16;1590;109;192;18;1378;77;154;15;1262;65;189;21;1091;96;304;9;1257;93;301;11;1596;117;314;10;1619;75;307;19;2001;105;343;11;1795;130;291;5;1928;125;256;6;1808;109;182;6;1500
Zarnovica;Banskobystricky;352;143;38;1563;322;272;22;1820;253;211;16;1715;159;208;20;1764;103;225;8;1497;61;156;10;1190;60;141;8;981;66;175;12;936;64;222;15;1200;57;232;10;1447;72;201;16;1484;40;146;9;1604;69;165;9;1533;87;161;12;1375;83;120;14;1120;98;99;6;910
Ziar nad Hronom;Banskobystricky;270;239;54;1872;274;363;44;2115;244;277;15;1977;185;288;15;2128;150;286;22;1852;100;187;23;1556;104;157;22;1359;125;165;13;1132;119;279;16;1310;120;308;20;1707;142;274;20;1671;100;307;10;1898;174;223;17;2047;213;253;17;1908;184;163;16;1455;171;113;6;1055
Bardejov;Presovsky;495;333;192;3603;511;641;141;3910;498;418;101;3600;399;382;115;3337;266;452;114;3114;162;382;100;2799;156;362;109;2402;170;446;134;2459;267;609;154;3416;279;691;150;4211;337;663;146;4034;295;690;126;4645;324;629;110;4919;366;667;112;4659;347;520;78;4119;336;427;74;3863
Humenne;Presovsky;581;429;114;3326;509;603;99;3377;418;408;88;3193;346;384;58;2622;257;344;49;2056;206;287;44;1680;176;291;43;1436;154;318;34;1477;237;411;35;2001;241;484;29;2801;302;529;28;2879;295;562;20;3281;318;497;33;3368;335;480;21;3242;362;355;25;2953;301;297;25;2735
Kezmarok;Presovsky;428;321;392;5158;407;540;196;5640;341;436;76;5183;322;387;262;5203;227;357;252;5009;150;195;332;4256;119;171;304;3974;118;283;250;3612;137;470;276;4589;161;457;242;5344;206;481;247;5791;152;481;241;6456;183;474;206;6696;188;480;170;6398;211;359;129;5670;179;287;90;4698
Levoca;Presovsky;311;147;112;1615;302;220;113;1836;193;176;37;1533;154;156;23;1394;129;137;38;1406;93;108;54;1303;73;88;54;1319;73;127;32;1150;76;203;52;1310;75;253;62;1603;114;232;49;1653;107;263;42;1820;162;253;49;2112;165;244;32;1707;134;195;29;1441;149;151;18;1339
Medzilaborce;Presovsky;122;58;25;618;124;119;21;805;77;95;16;745;56;61;17;780;55;52;36;647;44;66;32;510;53;59;25;488;57;65;10;522;81;82;15;778;102;103;14;925;103;89;8;874;101;104;11;907;92;110;2;934;95;109;5;925;75;81;13;762;115;67;12;718
Poprad;Presovsky;428;466;335;4581;469;778;103;5104;419;534;51;4594;491;459;154;4494;441;340;128;4058;349;215;100;3343;251;210;101;2697;244;298;98;2395;285;582;125;3152;320;560;123;4192;341;575;114;4248;286;554;125;4713;265;508;119;4706;243;434;107;4320;208;356;131;3755;143;264;113;2988
Presov;Presovsky;864;842;356;8694;848;1626;243;9600;763;1121;173;8905;580;977;196;8028;493;826;208;7287;342;687;231;6317;264;567;185;5386;199;591;177;4315;237;1022;170;5669;289;1240;202;7557;413;1187;184;7942;346;1349;245;9046;433;1075;158;8913;466;942;122;8272;438;707;65;7001;344;526;54;5776
